dish_id,ingredients_json,n_ingredients,cook_method,total_grams,calories_approx,protein_g_approx
otaru_ankake_yakisoba,"[{""name"": ""rice_noodle"", ""grams"": 200}, {""name"": ""pork"", ""grams"": 80}, {""name"": ""cabbage"", ""grams"": 60}, {""name"": ""carrot"", ""grams"": 40}, {""name"": ""onion"", ""grams"": 50}, {""name"": ""soy_sauce"", ""grams"": 15}, {""name"": ""oyster_sauce"", ""grams"": 10}, {""name"": ""sesame_oil"", ""grams"": 5}, {""name"": ""vegetable_oil"", ""grams"": 10}, {""name"": ""wheat_flour"", ""grams"": 20}]",10,fry,490.0,520,28.0
toshikoshi_soba,"[{""name"": ""rice_noodle"", ""grams"": 150}, {""name"": ""chicken"", ""grams"": 80}, {""name"": ""soy_sauce"", ""grams"": 15}, {""name"": ""fish_sauce"", ""grams"": 5}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""garlic"", ""grams"": 5}, {""name"": ""ginger"", ""grams"": 5}, {""name"": ""sesame_oil"", ""grams"": 5}, {""name"": ""egg"", ""grams"": 50}]",9,boil,355.0,420,28.0
khao_kan_chin,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""pork"", ""grams"": 100}, {""name"": ""salt"", ""grams"": 3}, {""name"": ""sugar"", ""grams"": 5}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""onion"", ""grams"": 15}, {""name"": ""vegetable_oil"", ""grams"": 10}, {""name"": ""chili"", ""grams"": 5}, {""name"": ""cucumber"", ""grams"": 50}]",9,steam,348.0,420,22.0
champon,"[{""name"": ""pork"", ""grams"": 80}, {""name"": ""shrimp"", ""grams"": 60}, {""name"": ""cabbage"", ""grams"": 50}, {""name"": ""carrot"", ""grams"": 30}, {""name"": ""onion"", ""grams"": 40}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""chicken"", ""grams"": 50}, {""name"": ""rice_noodle"", ""grams"": 120}, {""name"": ""soy_sauce"", ""grams"": 15}, {""name"": ""salt"", ""grams"": 5}]",10,boil,460.0,520,32.0
pilaf,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""onion"", ""grams"": 50}, {""name"": ""carrot"", ""grams"": 60}, {""name"": ""chicken"", ""grams"": 100}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""butter"", ""grams"": 20}, {""name"": ""salt"", ""grams"": 5}, {""name"": ""black_pepper"", ""grams"": 2}]",8,saute,397.0,520,28.0
hsi_htamin,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""turmeric"", ""grams"": 2}, {""name"": ""salt"", ""grams"": 3}, {""name"": ""onion"", ""grams"": 50}, {""name"": ""sesame_seed"", ""grams"": 10}, {""name"": ""vegetable_oil"", ""grams"": 15}]",6,steam,230.0,320,6.0
kongguksu,"[{""name"": ""soybean"", ""grams"": 100}, {""name"": ""wheat_flour"", ""grams"": 80}, {""name"": ""salt"", ""grams"": 3}, {""name"": ""sesame_seed"", ""grams"": 5}, {""name"": ""cucumber"", ""grams"": 50}]",5,boil,438.0,420,28.0
noodles_with_tomato_egg_sauce,"[{""name"": ""rice_noodle"", ""grams"": 200}, {""name"": ""tomato"", ""grams"": 150}, {""name"": ""egg"", ""grams"": 100}, {""name"": ""onion"", ""grams"": 50}, {""name"": ""carrot"", ""grams"": 30}, {""name"": ""ginger"", ""grams"": 10}, {""name"": ""soy_sauce"", ""grams"": 15}, {""name"": ""vegetable_oil"", ""grams"": 10}]",8,saute,565.0,480,22.0
htamin_jin,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""fish"", ""grams"": 100}, {""name"": ""tomato"", ""grams"": 80}, {""name"": ""potato"", ""grams"": 100}, {""name"": ""garlic"", ""grams"": 10}]",5,boil,440.0,520,28.0
nasi_timbel,"[{""name"": ""rice"", ""grams"": 200}, {""name"": ""banana"", ""grams"": 50}, {""name"": ""salt"", ""grams"": 2}]",3,steam,552.0,260,5.0
nasi_tutug_oncom,"[{""name"": ""rice"", ""grams"": 200}, {""name"": ""soybean"", ""grams"": 100}, {""name"": ""banana"", ""grams"": 50}, {""name"": ""chili"", ""grams"": 10}, {""name"": ""garlic"", ""grams"": 5}, {""name"": ""onion"", ""grams"": 20}, {""name"": ""salt"", ""grams"": 3}, {""name"": ""vegetable_oil"", ""grams"": 15}]",8,ferment,403.0,520,18.0
jjolmyeon,"[{""name"": ""wheat_flour"", ""grams"": 150}, {""name"": ""cabbage"", ""grams"": 50}, {""name"": ""bean_sprout"", ""grams"": 30}, {""name"": ""cucumber"", ""grams"": 40}, {""name"": ""carrot"", ""grams"": 30}, {""name"": ""chili"", ""grams"": 20}, {""name"": ""vinegar"", ""grams"": 15}, {""name"": ""sugar"", ""grams"": 10}, {""name"": ""sesame_oil"", ""grams"": 5}, {""name"": ""sesame_seed"", ""grams"": 3}]",10,boil,353.0,520,15.0
palitaw,"[{""name"": ""rice"", ""grams"": 100}, {""name"": ""coconut"", ""grams"": 40}, {""name"": ""sesame_seed"", ""grams"": 15}, {""name"": ""sugar"", ""grams"": 20}]",4,boil,175.0,280,4.0
ofada_rice,"[{""name"": ""rice"", ""grams"": 200}, {""name"": ""onion"", ""grams"": 50}, {""name"": ""tomato"", ""grams"": 100}, {""name"": ""chili"", ""grams"": 10}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""vegetable_oil"", ""grams"": 20}, {""name"": ""salt"", ""grams"": 5}]",7,boil,395.0,450,8.0
tsuivan,"[{""name"": ""beef"", ""grams"": 150}, {""name"": ""wheat_flour"", ""grams"": 120}, {""name"": ""carrot"", ""grams"": 80}, {""name"": ""onion"", ""grams"": 70}, {""name"": ""vegetable_oil"", ""grams"": 15}, {""name"": ""soy_sauce"", ""grams"": 10}, {""name"": ""salt"", ""grams"": 3}, {""name"": ""black_pepper"", ""grams"": 2}]",8,saute,450.0,520,32.0
gumbo,"[{""name"": ""chicken"", ""grams"": 120}, {""name"": ""shrimp"", ""grams"": 100}, {""name"": ""sausage"", ""grams"": 80}, {""name"": ""onion"", ""grams"": 60}, {""name"": ""celery"", ""grams"": 50}, {""name"": ""tomato"", ""grams"": 40}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""wheat_flour"", ""grams"": 20}, {""name"": ""vegetable_oil"", ""grams"": 15}, {""name"": ""salt"", ""grams"": 5}, {""name"": ""black_pepper"", ""grams"": 2}]",11,braise,552.0,580,42.0
idiyappam,"[{""name"": ""rice"", ""grams"": 100}, {""name"": ""salt"", ""grams"": 2}, {""name"": ""coconut"", ""grams"": 50}]",3,steam,302.0,380,6.0
jeera_bhaat,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""cumin"", ""grams"": 5}, {""name"": ""vegetable_oil"", ""grams"": 15}, {""name"": ""onion"", ""grams"": 50}, {""name"": ""salt"", ""grams"": 3}, {""name"": ""coriander"", ""grams"": 10}]",6,boil,233.0,300,5.0
kat_kyi_kaik,"[{""name"": ""rice_noodle"", ""grams"": 150}, {""name"": ""squid"", ""grams"": 80}, {""name"": ""bean_sprout"", ""grams"": 50}, {""name"": ""shrimp"", ""grams"": 70}, {""name"": ""soy_sauce"", ""grams"": 15}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""pepper"", ""grams"": 2}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""vegetable_oil"", ""grams"": 20}]",9,fry,427.0,520,32.0
milmyeon,"[{""name"": ""wheat_flour"", ""grams"": 120}, {""name"": ""chicken"", ""grams"": 80}, {""name"": ""cucumber"", ""grams"": 50}, {""name"": ""egg"", ""grams"": 60}, {""name"": ""sesame_oil"", ""grams"": 10}, {""name"": ""soy_sauce"", ""grams"": 20}, {""name"": ""vinegar"", ""grams"": 15}, {""name"": ""sugar"", ""grams"": 5}, {""name"": ""garlic"", ""grams"": 5}, {""name"": ""sesame_seed"", ""grams"": 3}]",10,boil,368.0,480,28.0
ciba_cake,"[{""name"": ""rice"", ""grams"": 200}, {""name"": ""sugar"", ""grams"": 30}, {""name"": ""vegetable_oil"", ""grams"": 20}, {""name"": ""sesame_seed"", ""grams"": 10}]",4,fry,260.0,380,5.0
bakmi,"[{""name"": ""wheat_flour"", ""grams"": 200}, {""name"": ""pork"", ""grams"": 100}, {""name"": ""soy_sauce"", ""grams"": 30}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""onion"", ""grams"": 50}, {""name"": ""vegetable_oil"", ""grams"": 15}, {""name"": ""cabbage"", ""grams"": 70}, {""name"": ""egg"", ""grams"": 50}]",8,boil,525.0,650,32.0
khauk_sw_thoke,"[{""name"": ""wheat_flour"", ""grams"": 120}, {""name"": ""shrimp"", ""grams"": 40}, {""name"": ""cabbage"", ""grams"": 60}, {""name"": ""carrot"", ""grams"": 40}, {""name"": ""fish_sauce"", ""grams"": 15}, {""name"": ""lime"", ""grams"": 20}, {""name"": ""peanut"", ""grams"": 25}, {""name"": ""vegetable_oil"", ""grams"": 10}]",8,no_cook,330.0,420,22.0
chao,"[{""name"": ""rice"", ""grams"": 100}, {""name"": ""salt"", ""grams"": 2}, {""name"": ""soybean"", ""grams"": 50}, {""name"": ""cabbage"", ""grams"": 30}, {""name"": ""tofu"", ""grams"": 40}, {""name"": ""vinegar"", ""grams"": 5}]",6,boil,727.0,380,12.0
kyay_oh,"[{""name"": ""rice_noodle"", ""grams"": 100}, {""name"": ""pork"", ""grams"": 80}, {""name"": ""chicken"", ""grams"": 50}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""ginger"", ""grams"": 5}, {""name"": ""tomato"", ""grams"": 40}, {""name"": ""pepper"", ""grams"": 15}, {""name"": ""fish_sauce"", ""grams"": 10}, {""name"": ""salt"", ""grams"": 2}]",10,boil,342.0,380,28.0
okoy,"[{""name"": ""rice"", ""grams"": 80}, {""name"": ""shrimp"", ""grams"": 60}, {""name"": ""sweet_potato"", ""grams"": 40}, {""name"": ""bean_sprout"", ""grams"": 30}, {""name"": ""carrot"", ""grams"": 25}, {""name"": ""onion"", ""grams"": 20}, {""name"": ""wheat_flour"", ""grams"": 20}, {""name"": ""vegetable_oil"", ""grams"": 15}, {""name"": ""vinegar"", ""grams"": 10}, {""name"": ""salt"", ""grams"": 3}, {""name"": ""black_pepper"", ""grams"": 1}]",11,deep_fry,304.0,420,18.0
lakso,"[{""name"": ""rice_noodle"", ""grams"": 120}, {""name"": ""coconut_milk"", ""grams"": 200}, {""name"": ""fish"", ""grams"": 100}, {""name"": ""onion"", ""grams"": 50}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""chili"", ""grams"": 15}, {""name"": ""turmeric"", ""grams"": 5}, {""name"": ""salt"", ""grams"": 3}, {""name"": ""vegetable_oil"", ""grams"": 20}]",9,boil,523.0,480,22.0
nasi_kandar,"[{""name"": ""rice"", ""grams"": 200}, {""name"": ""chicken"", ""grams"": 100}, {""name"": ""coconut_milk"", ""grams"": 100}, {""name"": ""curry_paste"", ""grams"": 30}, {""name"": ""potato"", ""grams"": 80}, {""name"": ""egg"", ""grams"": 50}, {""name"": ""onion"", ""grams"": 40}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""ginger"", ""grams"": 10}, {""name"": ""turmeric"", ""grams"": 5}, {""name"": ""salt"", ""grams"": 5}, {""name"": ""vegetable_oil"", ""grams"": 15}]",12,steam,645.0,680,32.0
pinipig,"[{""name"": ""rice"", ""grams"": 100}, {""name"": ""sugar"", ""grams"": 30}, {""name"": ""coconut_milk"", ""grams"": 50}, {""name"": ""salt"", ""grams"": 2}]",4,toast,182.0,400,5.0
panyalam,"[{""name"": ""rice"", ""grams"": 100}, {""name"": ""coconut_milk"", ""grams"": 80}, {""name"": ""vegetable_oil"", ""grams"": 20}]",3,deep_fry,240.0,420,5.0
ksesptzle,"[{""name"": ""wheat_flour"", ""grams"": 150}, {""name"": ""egg"", ""grams"": 50}, {""name"": ""cheese"", ""grams"": 100}, {""name"": ""onion"", ""grams"": 80}, {""name"": ""butter"", ""grams"": 20}, {""name"": ""salt"", ""grams"": 2}]",6,bake,402.0,650,28.0
shirataki_noodles,"[{""name"": ""rice_noodle"", ""grams"": 200}, {""name"": ""soy_sauce"", ""grams"": 15}, {""name"": ""sesame_oil"", ""grams"": 5}, {""name"": ""garlic"", ""grams"": 5}, {""name"": ""ginger"", ""grams"": 5}, {""name"": ""chicken"", ""grams"": 100}, {""name"": ""cabbage"", ""grams"": 50}, {""name"": ""carrot"", ""grams"": 30}, {""name"": ""sesame_seed"", ""grams"": 3}]",9,saute,413.0,320,28.0
khao_soi,"[{""name"": ""rice_noodle"", ""grams"": 150}, {""name"": ""pork"", ""grams"": 100}, {""name"": ""onion"", ""grams"": 50}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""ginger"", ""grams"": 10}, {""name"": ""turmeric"", ""grams"": 2}, {""name"": ""chili"", ""grams"": 5}, {""name"": ""fish_sauce"", ""grams"": 15}, {""name"": ""lime"", ""grams"": 20}, {""name"": ""coriander"", ""grams"": 5}]",10,boil,367.0,480,28.0
salukara,"[{""name"": ""rice"", ""grams"": 100}, {""name"": ""coconut_milk"", ""grams"": 120}, {""name"": ""sugar"", ""grams"": 30}, {""name"": ""pork"", ""grams"": 10}]",4,fry,310.0,420,8.0
sevai,"[{""name"": ""rice_noodle"", ""grams"": 100}, {""name"": ""onion"", ""grams"": 50}, {""name"": ""carrot"", ""grams"": 40}, {""name"": ""coconut"", ""grams"": 20}, {""name"": ""lemon"", ""grams"": 10}, {""name"": ""coriander"", ""grams"": 5}]",6,steam,282.0,320,6.0
bn_c,"[{""name"": ""rice_noodle"", ""grams"": 100}, {""name"": ""tofu"", ""grams"": 60}, {""name"": ""tomato"", ""grams"": 50}, {""name"": ""bean_sprout"", ""grams"": 30}, {""name"": ""spinach"", ""grams"": 40}, {""name"": ""onion"", ""grams"": 20}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""fish_sauce"", ""grams"": 15}, {""name"": ""lime"", ""grams"": 10}]",9,boil,415.0,320,22.0
tsukemen,"[{""name"": ""rice_noodle"", ""grams"": 200}, {""name"": ""pork"", ""grams"": 100}, {""name"": ""chicken"", ""grams"": 50}, {""name"": ""soy_sauce"", ""grams"": 30}, {""name"": ""fish_sauce"", ""grams"": 10}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""ginger"", ""grams"": 5}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""egg"", ""grams"": 50}]",9,boil,495.0,550,35.0
riz_gras,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""chicken"", ""grams"": 100}, {""name"": ""onion"", ""grams"": 50}, {""name"": ""tomato"", ""grams"": 60}, {""name"": ""carrot"", ""grams"": 40}, {""name"": ""cabbage"", ""grams"": 30}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""vegetable_oil"", ""grams"": 20}, {""name"": ""salt"", ""grams"": 5}, {""name"": ""black_pepper"", ""grams"": 2}]",10,braise,467.0,550,28.0
bnh_bo,"[{""name"": ""rice"", ""grams"": 80}, {""name"": ""shrimp"", ""grams"": 30}, {""name"": ""pork"", ""grams"": 20}, {""name"": ""onion"", ""grams"": 10}, {""name"": ""vegetable_oil"", ""grams"": 15}, {""name"": ""fish_sauce"", ""grams"": 20}, {""name"": ""sugar"", ""grams"": 10}, {""name"": ""chili"", ""grams"": 5}]",8,steam,210.0,320,18.0
song_gao,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""sugar"", ""grams"": 50}, {""name"": ""black_bean"", ""grams"": 80}, {""name"": ""soybean"", ""grams"": 40}]",4,steam,420.0,520,18.0
tonkatsu,"[{""name"": ""pork"", ""grams"": 150}, {""name"": ""bread"", ""grams"": 50}, {""name"": ""wheat_flour"", ""grams"": 20}, {""name"": ""egg"", ""grams"": 50}, {""name"": ""vegetable_oil"", ""grams"": 30}, {""name"": ""salt"", ""grams"": 2}, {""name"": ""black_pepper"", ""grams"": 1}]",7,deep_fry,303.0,520,32.0
rijstevlaai,"[{""name"": ""wheat_flour"", ""grams"": 150}, {""name"": ""butter"", ""grams"": 75}, {""name"": ""rice"", ""grams"": 100}, {""name"": ""milk"", ""grams"": 200}, {""name"": ""egg"", ""grams"": 50}, {""name"": ""sugar"", ""grams"": 50}, {""name"": ""salt"", ""grams"": 2}]",7,bake,627.0,950,18.0
nan_gyi_thoke,"[{""name"": ""rice_noodle"", ""grams"": 200}, {""name"": ""chicken"", ""grams"": 150}, {""name"": ""onion"", ""grams"": 50}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""ginger"", ""grams"": 10}, {""name"": ""turmeric"", ""grams"": 2}, {""name"": ""chili"", ""grams"": 5}, {""name"": ""sesame_oil"", ""grams"": 15}, {""name"": ""soy_sauce"", ""grams"": 10}, {""name"": ""coriander"", ""grams"": 8}]",10,saute,460.0,520,32.0
bnh_c,"[{""name"": ""rice"", ""grams"": 80}, {""name"": ""corn"", ""grams"": 40}, {""name"": ""pork"", ""grams"": 50}, {""name"": ""shrimp"", ""grams"": 30}, {""name"": ""onion"", ""grams"": 20}, {""name"": ""sesame_seed"", ""grams"": 5}, {""name"": ""salt"", ""grams"": 2}, {""name"": ""peanut"", ""grams"": 15}, {""name"": ""fish_sauce"", ""grams"": 10}]",9,steam,252.0,320,18.0
teurgoule,"[{""name"": ""rice"", ""grams"": 80}, {""name"": ""milk"", ""grams"": 400}, {""name"": ""sugar"", ""grams"": 40}]",3,bake,522.0,480,14.0
shrimp_creole,"[{""name"": ""shrimp"", ""grams"": 200}, {""name"": ""tomato"", ""grams"": 150}, {""name"": ""onion"", ""grams"": 80}, {""name"": ""celery"", ""grams"": 60}, {""name"": ""pepper"", ""grams"": 60}, {""name"": ""chili"", ""grams"": 10}, {""name"": ""rice"", ""grams"": 150}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""vegetable_oil"", ""grams"": 15}]",9,saute,735.0,520,32.0
osmanthus_cake,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""honey"", ""grams"": 50}, {""name"": ""sugar"", ""grams"": 30}, {""name"": ""wheat_flour"", ""grams"": 20}]",4,steam,250.0,320,4.0
bnh_m,"[{""name"": ""bread"", ""grams"": 100}, {""name"": ""pork"", ""grams"": 80}, {""name"": ""cucumber"", ""grams"": 40}, {""name"": ""carrot"", ""grams"": 30}, {""name"": ""coriander"", ""grams"": 10}, {""name"": ""chili"", ""grams"": 5}, {""name"": ""mayonnaise"", ""grams"": 15}, {""name"": ""soy_sauce"", ""grams"": 5}, {""name"": ""vinegar"", ""grams"": 5}]",9,no_cook,290.0,420,22.0
croquette,"[{""name"": ""potato"", ""grams"": 200}, {""name"": ""ground_beef"", ""grams"": 80}, {""name"": ""onion"", ""grams"": 50}, {""name"": ""egg"", ""grams"": 50}, {""name"": ""wheat_flour"", ""grams"": 30}, {""name"": ""bread"", ""grams"": 40}, {""name"": ""salt"", ""grams"": 2}, {""name"": ""black_pepper"", ""grams"": 1}, {""name"": ""vegetable_oil"", ""grams"": 20}]",9,deep_fry,473.0,580,22.0
tinapayan,"[{""name"": ""rice"", ""grams"": 200}, {""name"": ""fish"", ""grams"": 100}, {""name"": ""salt"", ""grams"": 5}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""vinegar"", ""grams"": 15}]",6,ferment,360.0,420,22.0
aloo_tikki,"[{""name"": ""potato"", ""grams"": 200}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""ginger"", ""grams"": 10}, {""name"": ""garlic"", ""grams"": 5}, {""name"": ""coriander"", ""grams"": 5}, {""name"": ""chili"", ""grams"": 5}, {""name"": ""cumin"", ""grams"": 2}, {""name"": ""turmeric"", ""grams"": 1}, {""name"": ""salt"", ""grams"": 3}, {""name"": ""vegetable_oil"", ""grams"": 20}]",10,fry,331.0,320,8.0
ohn_no_khao_sw,"[{""name"": ""chicken"", ""grams"": 100}, {""name"": ""coconut_milk"", ""grams"": 150}, {""name"": ""wheat_flour"", ""grams"": 80}, {""name"": ""chickpea"", ""grams"": 30}, {""name"": ""onion"", ""grams"": 40}, {""name"": ""egg"", ""grams"": 50}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""ginger"", ""grams"": 10}, {""name"": ""turmeric"", ""grams"": 2}, {""name"": ""chili"", ""grams"": 5}, {""name"": ""salt"", ""grams"": 3}, {""name"": ""vegetable_oil"", ""grams"": 20}]",12,boil,500.0,520,28.0
buuz,"[{""name"": ""wheat_flour"", ""grams"": 100}, {""name"": ""ground_beef"", ""grams"": 150}, {""name"": ""onion"", ""grams"": 50}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""salt"", ""grams"": 3}, {""name"": ""black_pepper"", ""grams"": 2}]",6,steam,375.0,480,28.0
ch,"[{""name"": ""coconut_milk"", ""grams"": 200}, {""name"": ""sugar"", ""grams"": 50}, {""name"": ""rice"", ""grams"": 100}, {""name"": ""bean_sprout"", ""grams"": 30}, {""name"": ""coconut"", ""grams"": 40}, {""name"": ""vanilla"", ""grams"": 5}]",6,boil,425.0,520,8.0
pannenkoek,"[{""name"": ""wheat_flour"", ""grams"": 100}, {""name"": ""milk"", ""grams"": 150}, {""name"": ""egg"", ""grams"": 50}, {""name"": ""butter"", ""grams"": 15}, {""name"": ""salt"", ""grams"": 2}, {""name"": ""sugar"", ""grams"": 10}, {""name"": ""apple"", ""grams"": 50}, {""name"": ""bacon"", ""grams"": 40}]",8,fry,417.0,520,18.0
siopao,"[{""name"": ""wheat_flour"", ""grams"": 150}, {""name"": ""pork"", ""grams"": 80}, {""name"": ""sugar"", ""grams"": 15}, {""name"": ""soy_sauce"", ""grams"": 10}, {""name"": ""garlic"", ""grams"": 5}, {""name"": ""onion"", ""grams"": 10}, {""name"": ""salt"", ""grams"": 2}]",7,steam,275.0,400,22.0
waakye,"[{""name"": ""rice"", ""grams"": 100}, {""name"": ""black_bean"", ""grams"": 80}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""tomato"", ""grams"": 40}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""ginger"", ""grams"": 5}, {""name"": ""salt"", ""grams"": 2}, {""name"": ""vegetable_oil"", ""grams"": 15}]",8,boil,282.0,380,12.0
oyaki,"[{""name"": ""wheat_flour"", ""grams"": 100}, {""name"": ""soybean"", ""grams"": 50}, {""name"": ""sugar"", ""grams"": 15}, {""name"": ""salt"", ""grams"": 2}, {""name"": ""cabbage"", ""grams"": 40}, {""name"": ""carrot"", ""grams"": 30}, {""name"": ""sesame_oil"", ""grams"": 10}]",7,roast,247.0,420,18.0
zosui,"[{""name"": ""rice"", ""grams"": 100}, {""name"": ""chicken"", ""grams"": 50}, {""name"": ""mushroom"", ""grams"": 30}, {""name"": ""carrot"", ""grams"": 20}, {""name"": ""onion"", ""grams"": 20}, {""name"": ""soy_sauce"", ""grams"": 10}, {""name"": ""ginger"", ""grams"": 5}, {""name"": ""garlic"", ""grams"": 5}]",8,boil,240.0,220,15.0
serabi,"[{""name"": ""rice"", ""grams"": 80}, {""name"": ""coconut_milk"", ""grams"": 120}, {""name"": ""coconut"", ""grams"": 30}, {""name"": ""sugar"", ""grams"": 25}, {""name"": ""salt"", ""grams"": 1}]",5,fry,256.0,320,4.0
dorayaki,"[{""name"": ""wheat_flour"", ""grams"": 100}, {""name"": ""egg"", ""grams"": 50}, {""name"": ""sugar"", ""grams"": 40}, {""name"": ""honey"", ""grams"": 20}, {""name"": ""milk"", ""grams"": 60}, {""name"": ""soybean"", ""grams"": 80}]",6,fry,353.0,520,18.0
kheer,"[{""name"": ""milk"", ""grams"": 200}, {""name"": ""rice"", ""grams"": 50}, {""name"": ""sugar"", ""grams"": 30}, {""name"": ""almond"", ""grams"": 15}, {""name"": ""cashew"", ""grams"": 10}, {""name"": ""butter"", ""grams"": 5}]",6,boil,310.0,350,10.0
jian_dui,"[{""name"": ""wheat_flour"", ""grams"": 100}, {""name"": ""sesame_seed"", ""grams"": 30}, {""name"": ""sugar"", ""grams"": 40}, {""name"": ""black_bean"", ""grams"": 50}, {""name"": ""vegetable_oil"", ""grams"": 20}]",5,deep_fry,240.0,650,12.0
tortilla,"[{""name"": ""corn"", ""grams"": 100}, {""name"": ""wheat_flour"", ""grams"": 50}, {""name"": ""salt"", ""grams"": 2}]",3,bake,232.0,280,7.0
khao_poon,"[{""name"": ""rice_noodle"", ""grams"": 100}, {""name"": ""chicken"", ""grams"": 120}, {""name"": ""coconut_milk"", ""grams"": 150}, {""name"": ""fish_sauce"", ""grams"": 15}, {""name"": ""lime"", ""grams"": 20}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""chili"", ""grams"": 5}, {""name"": ""ginger"", ""grams"": 10}, {""name"": ""coriander"", ""grams"": 10}]",10,boil,470.0,520,28.0
maja_blanca,"[{""name"": ""coconut_milk"", ""grams"": 400}, {""name"": ""sugar"", ""grams"": 100}, {""name"": ""corn"", ""grams"": 80}, {""name"": ""coconut"", ""grams"": 50}]",4,boil,630.0,850,8.0
kalguksu,"[{""name"": ""wheat_flour"", ""grams"": 200}, {""name"": ""chicken"", ""grams"": 100}, {""name"": ""onion"", ""grams"": 50}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""ginger"", ""grams"": 5}, {""name"": ""soy_sauce"", ""grams"": 15}, {""name"": ""sesame_oil"", ""grams"": 5}, {""name"": ""zucchini"", ""grams"": 60}, {""name"": ""egg"", ""grams"": 50}, {""name"": ""salt"", ""grams"": 3}]",10,boil,498.0,520,28.0
kya_zan_hinga,"[{""name"": ""rice_noodle"", ""grams"": 100}, {""name"": ""chicken"", ""grams"": 80}, {""name"": ""shrimp"", ""grams"": 60}, {""name"": ""mushroom"", ""grams"": 40}, {""name"": ""tofu"", ""grams"": 30}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""black_pepper"", ""grams"": 2}, {""name"": ""fish_sauce"", ""grams"": 15}, {""name"": ""chili"", ""grams"": 5}, {""name"": ""coriander"", ""grams"": 5}, {""name"": ""onion"", ""grams"": 20}]",11,boil,367.0,380,28.0
singapore_hokkien_mee,"[{""name"": ""rice_noodle"", ""grams"": 80}, {""name"": ""wheat_flour"", ""grams"": 80}, {""name"": ""egg"", ""grams"": 50}, {""name"": ""pork"", ""grams"": 60}, {""name"": ""shrimp"", ""grams"": 50}, {""name"": ""squid"", ""grams"": 40}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""onion"", ""grams"": 20}, {""name"": ""soy_sauce"", ""grams"": 15}, {""name"": ""sesame_oil"", ""grams"": 5}, {""name"": ""chili"", ""grams"": 10}, {""name"": ""lime"", ""grams"": 15}]",12,fry,435.0,520,32.0
blintz,"[{""name"": ""wheat_flour"", ""grams"": 60}, {""name"": ""egg"", ""grams"": 50}, {""name"": ""milk"", ""grams"": 120}, {""name"": ""butter"", ""grams"": 15}, {""name"": ""cheese"", ""grams"": 100}, {""name"": ""sugar"", ""grams"": 20}, {""name"": ""vanilla"", ""grams"": 2}]",7,saute,367.0,480,22.0
kaiserschmarrn,"[{""name"": ""wheat_flour"", ""grams"": 100}, {""name"": ""egg"", ""grams"": 100}, {""name"": ""sugar"", ""grams"": 30}, {""name"": ""salt"", ""grams"": 2}, {""name"": ""milk"", ""grams"": 150}, {""name"": ""butter"", ""grams"": 40}]",6,fry,422.0,650,20.0
chataamari,"[{""name"": ""rice"", ""grams"": 80}, {""name"": ""egg"", ""grams"": 50}, {""name"": ""ground_beef"", ""grams"": 60}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""garlic"", ""grams"": 5}, {""name"": ""ginger"", ""grams"": 5}, {""name"": ""chili"", ""grams"": 5}, {""name"": ""coriander"", ""grams"": 3}, {""name"": ""salt"", ""grams"": 2}, {""name"": ""vegetable_oil"", ""grams"": 10}]",10,fry,250.0,380,22.0
