Name,wc_id,primary_cuisine,primary_coarse,Cuisines,Countries,Region1,Text Description
Tallarín saltado,tallarn_saltado,Peruvian,noodle,"[""Peruvian""]","[""Peru""]",South America,"To make this dish, some cooked noodles, Vegetable and portions of meat are sautéed to taste. The seasoning or dressing comes from Chinese spices and sesame oil."
Käsespätzle,ksesptzle,German,noodle,"[""German""]","[""Germany"", ""Austria"", ""Switzerland"", ""Liechtenstein""]",Western Europe,"Hot spätzle and grated cheese such as Emmentaler or granular cheese are layered alternately and finally topped with fried onions. After adding each layer, the dish is baked until all the cheese is melted. Accompanying side dishes are green salads or potato salad."
Fideuà,fideu,Spanish,pasta,"[""Spanish""]","[""Spain""]",Southern Europe,"The dish main ingredients are pasta noodles (often hollow), fish (rockfish, monkfish, cuttlefish, squid), and shellfish (Squilla mantis, shrimp, crayfish). It is seasoned mainly with lemon."
Chicken riggies,chicken_riggies,American,pasta,"[""American""]","[""United States""]",Northern America,"The dish is a pasta-based dish typically consisting of chicken, rigatoni, and hot or sweet peppers in a spicy cream and tomato sauce."
Kraft Dinner,kraft_dinner,American,pasta,"[""American""]","[""United States"", ""Canada"", ""Australia"", ""New Zealand""]",Australia and New Zealand,"The dish is a nonperishable, packaged macaroni and cheese product."
Bihun Goreng,bihun_goreng,Indonesian,noodle,"[""Indonesian"", ""Malaysian"", ""Singaporean""]","[""Indonesia"", ""Malaysia"", ""Singapore""]",South Eastern Asia,The fried noodles dish cooked with rice vermicelli.
Bún ốc,bn_c,Vietnamese,noodle,"[""Vietnamese""]","[""Vietnam""]",South Eastern Asia,"The dish contains broth, snails, and tofu as its basic characteristics but it can also contain green bananas, some fresh Vegetable or chopped water spinach, bean sprouts, water dropwort, tomatoes, and other ingredients."
Tsukemen,tsukemen,Japanese,noodle,"[""Japanese""]","[""Japan""]",Eastern Asia,The dish consists of noodles that are eaten after being dipped in a separate bowl of soup or broth.
Abura Soba,abura_soba,Japanese,noodle,"[""Japanese""]","[""Japan""]",Eastern Asia,The dish consists of dry noodle made with a sauce of soy sauce and lard.
Bánh canh,bnh_canh,Vietnamese,noodle,"[""Vietnamese""]","[""Vietnam""]",South Eastern Asia,The dish contains noodles that can be made from tapioca flour or a mixture of rice and tapioca flour.
Nan gyi thoke,nan_gyi_thoke,Burmese,noodle,"[""Burmese""]","[""Myanmar""]",South Eastern Asia,The dish is made with thick round rice noodles mixed with specially prepared chicken curry and chili oil.
Thenthuk,thenthuk,Tibetan,noodle,"[""Tibetan""]","[""Bhutan"", ""China"", ""India"", ""Nepal"", ""Pakistan""]",Southern Asia,"The noodle dish is made of wheat flour dough, mixed Vegetable and some pieces of mutton or yak meat."
Thukpa bhatuk,thukpa_bhatuk,Tibetan,noodle,"[""Tibetan""]","[""Bhutan"", ""China"", ""India"", ""Nepal"", ""Pakistan""]",Southern Asia,"The dish is made of noodle. Meat is usually a main ingredient in this soup, commonly mutton, beef or yak; however, this soup can also be made vegetarian with a vegetable bouillon."
Saimin,saimin,Hawaiian,noodle,"[""Hawaiian""]","[""United States""]",Northern America,"The dish is made of soft wheat egg noodles served in a hot dashi garnished with diced green onions and a thin slice of kamaboko. It may also include additional toppings such as char siu, sliced Spam, sliced egg, bok choy, mushrooms, or shredded nori. "
Tortilla,tortilla,Mesoamerican,bread,"[""Mesoamerican""]","[""Mexico""]",Central America,"The dish is a thin, circular unleavened flatbread originally made from maize hominy meal, and now also from wheat flour. "
Ngo hiang,ngo_hiang,Chinese,side dish,"[""Chinese""]","[""China""]",Eastern Asia,"The dish is a composition of various meats and Vegetable and other ingredients, such as a sausage-like roll consisting of minced pork and prawn (or fish) seasoned with five-spice powder, rolled inside a tofu skin and deep-fried, lup cheong, cucumber, century egg, ginger, deep-fried egg, deep-fried tofu, fishball and many others."
Tonkatsu,tonkatsu,Japanese,cutlet,"[""Japanese""]","[""Japan""]",Eastern Asia,"The dish consists of a breaded, deep-fried pork cutlet. It involves coating slices of pork with panko (bread crumbs), and then frying them in oil"
Cotoletta alla milanese,cotoletta_alla_milanese,Italian,cutlet,"[""Italian""]","[""Italy""]",Southern Europe,"The dish consists of veal rib chop or sirloin bone-in and made into a breaded cutlet, fried in butter."
Cotoletta alla bolognese,cotoletta_alla_bolognese,Italian,cutlet,"[""Italian""]","[""Italy""]",Southern Europe,"The dish consists of a veal cutlet coated with eggs, flour and breadcrumbs. It is first fried in lard or butter, then covered with a slice of ham and a handful of Parmesan cheese, then briefly sprinkled with meat broth to flavor and moisten it. Finally, it is baked in the oven until the cheese has melted. "
Hash browns,hash_browns,American,side dish,"[""American""]","[""United States""]",Northern America,The dish consists of finely julienned potatoes that have been fried until golden brown.
Aloo tikki,aloo_tikki,Indian,side dish,"[""Indian"", ""Bangladeshi"", ""Pakistani""]","[""India"", ""Bangladesh"", ""Pakistan""]",Southern Asia,"The dish it is made of boiled potatoes, peas, and various curry spices. The dish is served hot along with a side of saunth, tamarind, and coriander-mint sauce, and sometimes dahi (yogurt) or chickpeas."
Croquette,croquette,French,side dish,"[""French""]","[""France""]",Western Europe,"The dish is a deep-fried roll, consisting of a thick binder combined with a filling, which is then breaded."
Korokke,korokke,Japanese,side dish,"[""Japanese""]","[""Japan""]",Eastern Asia,"The dish is made by mixing cooked chopped meat, seafood, or Vegetable with mashed potato or white sauce, usually shaped like a flat patty, rolling it in wheat flour, eggs, and breadcrumbs, then deep-frying this until brown on the outside. "
Kripik,kripik,Indonesian,potato,"[""Indonesian""]","[""Indonesia""]",South Eastern Asia,"The dish is a bite size cracker which made from dried cassava, Vegetable, and fish with deep frying process, seasoned with salt, chili powder, and sugar."
Krupuk,krupuk,Indonesian,snack,"[""Indonesian""]","[""Indonesia""]",South Eastern Asia,The dish is a deep fried crackers made from starch and other ingredients that serve as flavouring.
Bánh mì,bnh_m,Vietnamese,bread,"[""Vietnamese""]","[""Vietnam""]",South Eastern Asia,"The dish is a short bread with thin, crisp crust and a soft texture with meats and vegetable filling, coriander, cucumber, pickled carrots, combined with other condiments."
Bistek,bistek,Filipino,meat,"[""Filipino""]","[""Philippines""]",South Eastern Asia,"The dish is made of strips of beef sirloin or tenderloin, usually flattened with a meat tenderizing tool, it is marinated then braised in soy sauce, calamansi juice (or some other citrus fruit like lime or lemon), smashed whole garlic cloves, ground black pepper, bay leaves, caramelized red onion rings, and (optionally) muscovado or brown sugar. In some recipes, fresh white onion rings are used instead to preserve its crunchiness."
Mandu,mandu,Korean,side dish,"[""Korean""]","[""Korea""]",Eastern Asia,"The dish is dumpling, which can be steamed, boiled, pan-fried, or deep-fried."
Gyoza,gyoza,Japanese,side dish,"[""Japanese""]","[""Japan""]",Eastern Asia,"The dish is dumpling, which can be steamed, boiled, pan-fried, or deep-fried."
Jiaozi,jiaozi,Chinese,side dish,"[""Chinese""]","[""China""]",Eastern Asia,"The dish consists of a ground meat or vegetable filling wrapped into a thinly rolled piece of dough, which is then sealed by pressing the edges together."
Khinkali,khinkali,Georgian,side dish,"[""Georgian""]","[""Georgia""]",Western Asia,"The dish is made of twisted knobs of dough, stuffed with meat, fish or Vegetable and spices."
Manti,manti,Turkish,side dish,"[""Turkish"", ""Armenian"", ""Central Asian""]","[""Turkey"", ""Armenia""]",Western Asia,"The dumplings typically consist of a spiced meat mixture, usually lamb or ground beef, wrapped in a thin dough sheet which is then boiled or steamed."
Momo,momo,Tibetan,side dish,"[""Tibetan"", ""Nepalese""]","[""Bhutan"", ""China"", ""India"", ""Nepal"", ""Pakistan"", ""Nepal""]",Southern Asia,"The dumplings are prepared with ground/minced meat, potatoes, and leek filling."
Varenyky,varenyky,Ukrainian,side dish,"[""Ukrainian""]","[""Ukraine""]",Eastern Europe,The filled dumplings made by wrapping unleavened dough around a filling and cooked in boiling water.
Buuz,buuz,Mongolian,side dish,"[""Mongolian"", ""Buryatian""]","[""Mongolia"", ""Russia""]",Eastern Asia,The dish is steamed dumpling filled with meat.
Shumai,shumai,Chinese,dumpling,"[""Chinese""]","[""China"", ""Japan"", ""Australia""]",Australia and New Zealand,The dish is a type of dumpling made of ground pork.
Siomay,siomay,Indonesian,dumpling,"[""Indonesian""]","[""Indonesia""]",South Eastern Asia,The dish is a steamed fish dumpling with Vegetable served in peanut sauce.
Pannenkoek,pannenkoek,Dutch,pancake,"[""Dutch""]","[""Netherlands""]",Western Europe,"The dish is a style of pancake which are usually larger (up to a foot in diameter) and much thinner but not as thin as crêpes. They may incorporate slices of bacon, apples, cheese, or raisins. Plain ones are often eaten with treacle (syrup made of sugar beets), unspiced variety of apple butter or (powdered) sugar and are sometimes rolled up to be eaten by hand or with cutlery."
Bing,bing,Chinese,bread,"[""Chinese""]","[""China""]",Eastern Asia,The dish is a wheat flour-based bread with a flattened or disk-like shape.
Oyaki,oyaki,Japanese,dumpling,"[""Japanese""]","[""Japan""]",Eastern Asia,"The dish is a dumpling made from a fermented buckwheat dough wrapped around a stuffing of Vegetable, fruit, or anko bean paste and then roasted on an iron pan."
Dorayaki,dorayaki,Japanese,pancake,"[""Japanese""]","[""Japan""]",Eastern Asia,The dish consists of two small pancake-like patties made from castella wrapped around a filling of sweet bean paste.
Buchimgae,buchimgae,Korean,pancake,"[""Korean""]","[""Korea""]",Eastern Asia,The dish made by pan-frying a thick batter mixed with egg and other ingredients until a thin flat pancake-shaped fritter is formed.
Jeon,jeon,Korean,fritter,"[""Korean""]","[""Korea""]",Eastern Asia,"The dish is a fritter made by seasoning whole, sliced, or minced fish, meat, Vegetable, etc., and coating them with wheat flour and egg wash before frying them in oil."
Bindae-tteok,bindaetteok,Korean,pancake,"[""Korean""]","[""Korea""]",Eastern Asia,"The dish is made by grinding soaked mung beans, adding vegetable and meat and pan-frying it into a round, flat shape."
Hotteok,hotteok,Korean,pancake,"[""Korean""]","[""Korea"", ""China""]",Eastern Asia,"The dough is made from wheat flour, water, milk, sugar, and yeast. Handful-sized balls of this stiff dough are filled with a sweet mixture, which may contain brown sugar, honey, chopped peanuts, and cinnamon. The filled dough is then placed on a greased griddle, and pressed flat into a large circle, this is done with a stainless steel circle and wooden handle as it cooks."
Neer dosa,neer_dosa,Indian,crepe,"[""Indian""]","[""India""]",Southern Asia,"The dish is a crêpe prepared from rice batter. Usually, it is served with coconut chutney, sambar, saagu and non vegetarian curries like chicken, mutton, fish and egg curry."
Serabi,serabi,Indonesian,pancake,"[""Indonesian""]","[""Indonesia""]",South Eastern Asia,"The dish is similar to a pancake, made of a rice flour-based batter with coconut milk or coconut cream and shredded coconut as an emulsifier. Mostly it tastes sweet, as these pancake-like desserts are usually eaten with a golden-brown coconut sugar syrup."
Murtabak,murtabak,Yemeni,pancake,"[""Yemeni""]","[""Yemen"", ""Saudi Arabia"", ""Indonesia"", ""Malaysia"", ""Thailand"", ""Brunei Darussalam"", ""Singapore""]",Western Asia,"The dish is often described as spicy folded omelette pancake with bits of vegetable. The most common form of this dish is made from pan fried crepes usually stuffed with beaten eggs, chopped leeks, chives, or green onion (scallions) and minced meat, which is then folded and cut to squares."
Terang Bulan,terang_bulan,Chinese,pancake,"[""Chinese""]","[""China"", ""Indonesia"", ""Malaysia"", ""Thailand"", ""Brunei Darussalam"", ""Singapore""]",South Eastern Asia,"This dish is a type of pancake. The batter is made from a mixture of flour, eggs, sugar, baking soda, coconut milk and water. The batter is cooked upon a thick round iron frying pan in plenty of palm margarine to avoid it sticking to the pan. Then other ingredients are sprinkled as filling; the most common or traditional is crushed peanut granules with sugar and sweetcorn kernels (available from cans), but modern innovations such as chocolate sprinkles and cheddar cheese are also available."
Apam balik,apam_balik,Chinese,pancake,"[""Chinese""]","[""China"", ""Indonesia"", ""Malaysia"", ""Thailand"", ""Brunei Darussalam"", ""Singapore""]",South Eastern Asia,"This dish is a type of pancake. The batter is made from a mixture of flour, eggs, sugar, baking soda, coconut milk and water. The batter is cooked upon a thick round iron frying pan in plenty of palm margarine to avoid it sticking to the pan. Then other ingredients are sprinkled as filling; the most common or traditional is crushed peanut granules with sugar and sweetcorn kernels (available from cans), but modern innovations such as chocolate sprinkles and cheddar cheese are also available."
Chataamari,chataamari,Nepalese,crepe,"[""Nepalese""]","[""Nepal""]",Southern Asia,The dish is made of rice crepe with meat and egg topping.
Bánh xèo,bnh_xo,Vietnamese,pancake,"[""Vietnamese""]","[""Vietnam""]",South Eastern Asia,"The dish is a savoury fried pancake made of rice flour, water, and turmeric powder. Some common stuffings include pork, prawns, diced green onion, mung bean, and bean sprouts."
Blintz,blintz,Jewish,pancake,"[""Jewish""]","[""Israel"", ""Russia""]",Western Asia,"The dish is a rolled pancakes that are filled with sweetened cheese, sometimes with the addition of raisins, or fruit preserves and then slightly sautéed."
Kaiserschmarrn,kaiserschmarrn,Austrian,pancake,"[""Austrian""]","[""Austria"", ""Germany"", ""Hungary"", ""Slovenia"", ""Czech Republic"", ""Croatia""]",Western Europe,"The dish is a light, caramelized pancake made from a sweet batter using flour, eggs, sugar, salt, and milk, fried in butter."
Oladyi,oladyi,Russian,pancake,"[""Russian"", ""Ukrainian""]","[""Russia"", ""Ukraine""]",Eastern Europe,"The dish is a small thick pancakes or fritters. The batter is made from wheat or (nowadays more rarely) buckwheat flour, eggs, milk, salt, and sugar with yeast or baking soda. The batter may also contain kefir, soured milk or yoghurt. The dish may also include various additions, such as apple or raisins."
Krapfen,krapfen,German,doughnut,"[""German""]","[""Germany""]",Western Europe,"The dish is a doughnut with no central hole, made from sweet yeast dough fried in lard or cooking oil, with a jam filling, and usually covered in powdered sugar."
Yorkshire pudding,yorkshire_pudding,English,pudding,"[""English""]","[""England""]",Northern Europe,"The dish is a baked pudding made from a batter of eggs, flour, and milk or water."
Crumpet,crumpet,British,bread,"[""British""]","[""United Kingdom"", ""Australia"", ""New Zealand"", ""South Africa"", ""Canada""]",Northern America,"The dish is a small griddle bread made from an unsweetened batter of water or milk, flour, and yeast."
Crempog,crempog,Welsh,pancake,"[""Welsh""]","[""United Kingdom""]",Northern Europe,"The dish is made with flour, buttermilk, eggs, vinegar and salted butter. Traditionally made on bakestones or griddles."
Palatschinke,palatschinke,Greek,pancake,"[""Greek""]","[""Greece"", ""Hungary"", ""Czech Republic"", ""Slovakia"", ""Croatia""]",Southern Europe,"The dish is thin pancake made by creating a batter from eggs, wheat flour, milk, and salt and frying it in a pan with butter or oil."
Poffertjes,poffertjes,Dutch,pancake,"[""Dutch""]","[""Netherlands""]",Western Europe,"The dish resembles small, fluffy pancakes, they are made with yeast and buckwheat flour. Typically, this dish is sweet treats served with powdered sugar and butter, and sometimes syrup or advocaat. A savoury variant with gouda cheese is also made."
Racuchy,racuchy,Polish,pancake,"[""Polish""]","[""Poland""]",Eastern Europe,"The dish is made from flour, milk, eggs, sugar and a pinch of salt. It is made with yeast or, in other versions, baking powder or baking soda. The dish pan fried in oil."
Potato pancake,potato_pancake,Eastern European,pancake,"[""Eastern European"", ""Northern European""]","[""Russia"", ""Ukraine"", ""Belarus"", ""Sweden""]",Northern Europe,"The dish is a shallow-fried pancake of grated or ground potato, matzo meal or flour and a binding ingredient such as egg or applesauce, often flavored with grated garlic or onion and seasonings. They may be topped with a variety of condiments, ranging from the savory (such as sour cream or cottage cheese), to the sweet (such as apple sauce or sugar), or they may be served plain."
Bannock,bannock,Scottish,bread,"[""Scottish""]","[""Scotland""]",Northern Europe,"The dish is a flatbread or quick bread made with baking powder or baking soda as a leavening agent, giving them a light and airy texture."
Johnnycake,johnnycake,American,bread,"[""American""]","[""United States"", ""Canada"", ""Colombia"", ""Jamaica"", ""Bahamas""]",Caribbean,"The dish is an unleavened cornbread made of cornmeal, salt, and water. Early cooks set thick corn dough on a wooden board or barrel stave, which they leaned on a piece of wood or a rock in front of an open fire to bake."
Cachapa,cachapa,Venezuelan,pancake,"[""Venezuelan""]","[""Venezuela""]",South America,"The dish is made from maize flour. It can be made like pancakes of fresh corn dough, or wrapped in dry corn leaves and boiled. It is traditionally eaten with a handmade cheese, a soft, mozzarella-like cheese, and occasionally with fried pork on the side."
Farinata,farinata,Italian,pancake,"[""Italian"", ""French""]","[""Italy"", ""France""]",Western Europe,"The dish is a type of thin, unleavened pancake or crêpe made from chickpea flour."
Sorbet,sorbet,Iranian,dessert,"[""Iranian""]","[""Iran""]",Southern Asia,"This dish is a frozen dessert made using ice combined with fruit juice, fruit purée, or other ingredients, such as wine, liqueur, or honey. Generally, this dish do not contain dairy products."
Seekh kebab,seekh_kebab,Indian Subcontinent,skewer,"[""Indian Subcontinent""]","[""Bangladesh"", ""India"", ""Pakistan""]",Southern Asia,"This dish is a type of kebab made with Indian spices, spiced minced or ground meat, usually lamb, beef, or chicken, formed into cylinders on skewers and grilled. It is typically cooked on a mangal or barbecue, or in a tandoor."
Chelow kabab,chelow_kabab,Iranian,meat,"[""Iranian""]","[""Iran""]",Southern Asia,"This dish consists of steamed rice (čelow) and one of the many varieties of kebab. This dish is served with accompaniments such as butter, sumac powder, basil, onions, and grilled tomatoes."
Kabab koobideh,kabab_koobideh,Iranian,skewer,"[""Iranian""]","[""Iran""]",Southern Asia,"This dish is a type of kofta kabab made from ground lamb or beef, often mixed with ground pepper and chopped onions."
Kabab barg,kabab_barg,Iranian,meat,"[""Iranian""]","[""Iran""]",Southern Asia,"This dish is a Persian style barbecued and marinated lamb, chicken or beef kabab dish. The main ingredients of this dish are beef tenderloin, lamb sirloin, or less commonly chicken breast, along with onions and olive oil."
Jujeh kabab,jujeh_kabab,Iranian,meat,"[""Iranian""]","[""Iran""]",Southern Asia,"This dish consists of grilled chunks of chicken which are sometimes with bone and other times without bone. It is common to marinate the chunks in minced onion, lemon juice and saffron."
Sate,sate,Indonesian,skewer,"[""Indonesian""]","[""Indonesia""]",South Eastern Asia,"This dish consists of seasoned, skewered and grilled meat, served with a sauce. This dish may consist of diced or sliced chicken, goat, mutton, beef, pork, fish, other meats, or tofu; bamboo skewers are often used, while rustic style of preparations employ skewers from the midrib of the coconut palm frond."
Pisang Molen,pisang_molen,Indian Subcontinent,snack,"[""Indian Subcontinent""]","[""India""]",Southern Asia,The dish is a fritter made by deep frying battered banana or plantain in hot cooking oil.
Pisang Goreng,pisang_goreng,Indonesian,fritter,"[""Indonesian""]","[""Indonesia""]",South Eastern Asia,The dish is made by banana. The banana is often battered and then deep fried in ample palm oil.
Maruya,maruya,Filipino,fritter,"[""Filipino""]","[""Philippines""]",South Eastern Asia,The dish is made by bananas cooked with batter.
Kluai khaek,kluai_khaek,Thai,fritter,"[""Thai""]","[""Thailand""]",South Eastern Asia,"The dish is made from fried, floured banana commonly topped with white sesame."
chuối chiên,chui_chin,Vietnamese,fritter,"[""Vietnamese""]","[""Vietnam""]",South Eastern Asia,"The dish after deep frying, banana fritters are drizzled with rum or rice wine and ignited to further crisp them."
Agedashi dōfu,agedashi_dfu,Japanese,tofu,"[""Japanese""]","[""Japan""]",Eastern Asia,"The dish is a hot tofu dish. Soft or medium-firm silken tofu (kinugoshi) is cut into cubes, before being lightly dusted with potato starch or cornstarch and then deep fried until golden brown. It is then served in a hot broth (tentsuyu) made of dashi, mirin, and shō-yu (Japanese soy sauce), with finely-chopped negi (a type of spring onion) and grated daikon or katsuobushi (dried skipjack tuna flakes) sprinkled on top."
Tofu skin,tofu_skin,Chinese,soybeans,"[""Chinese"", ""Korean"", ""Japanese""]","[""China"", ""Korea"", ""Japan""]",Eastern Asia,"The dish is a food item made from soybeans. During the boiling of soy milk, in an open shallow pan, a film or skin composed primarily of a soy protein-lipid complex forms on the liquid surface."
Chanpurū,chanpur,Japanese,stir fry,"[""Japanese""]","[""Japan""]",Eastern Asia,"The dish consists of tofu combined with some kind of vegetable, meat, or fish."
Doenjang jjigae,doenjang_jjigae,Korean,stew,"[""Korean""]","[""Korea""]",Eastern Asia,"This dish is made from the primary ingredient of soybean paste, and additional optional ingredients Vegetable, seafood, and meat."
Douhua,douhua,Chinese,pudding,"[""Chinese""]","[""China""]",Eastern Asia,"This dish is a sweet or savoury snack made with silken tofu. It is also referred to as tofu pudding, soybean pudding, or tofu brains."
Dubu-kimchi,dubukimchi,Korean,side dish,"[""Korean""]","[""Korea""]",Eastern Asia,"This dish consists of tofu (dubu) and stir-fried kimchi. Soft, warm, blanched tofu is served with well-fermented, tangy baechu-kimchi (napa cabbage kimchi) stir-fried with pork."
Ganmodoki,ganmodoki,Japanese,fritter,"[""Japanese""]","[""Japan""]",Eastern Asia,"The dish is a fried tofu fritter made with Vegetable such as carrots, lotus roots, and burdock with sometimes egg."
Hiyayakko,hiyayakko,Japanese,tofu,"[""Japanese""]","[""Japan""]",Eastern Asia,The dish is a chilled tofu dressed with toppings.
Inarizushi,inarizushi,Japanese,tofu,"[""Japanese""]","[""Japan""]",Eastern Asia,This dish is a pouch of fried tofu typically filled with vinegared-rice part of sushi alone or additionally filled with carrot and shiitake mushrooms.
Kupat tahu,kupat_tahu,Indonesian,tofu,"[""Indonesian""]","[""Indonesia""]",South Eastern Asia,The dish is a rice cake served with peanut sauce topped with crispy crackers.
Pidan doufu,pidan_doufu,Chinese,tofu,"[""Chinese""]","[""China""]",Eastern Asia,"This dish is a cold tofu dish consisting of slices of silken tofu topped with diced thousand-year-old eggs, minced garlic and spring onion, and a splash of soy sauce and Chinese vinegar."
Mun tahu,mun_tahu,Indonesian,tofu,"[""Indonesian""]","[""Indonesia""]",South Eastern Asia,"This dish is a soft tofu braised in savoury thick white sauce, mixed with minced chicken and shrimp. It is mildly flavoured with garlic, ginger and onion, seasoned with small amount of soy sauce, salt and pepper. The colour of the sauce is whitish due to minimal addition of soy sauce. This white sauce is thickened using batter of tapioca powder or maize powder; resulting in a thick, slightly runny, gelatinized white sauce."
Sapo tahu,sapo_tahu,Indonesian,tofu,"[""Indonesian""]","[""Indonesia""]",South Eastern Asia,"This dish is traditionally cooked and served in claypot. It may be served as a vegetarian dish, or with chicken, seafood (especially shrimp), minced beef or pork."
Stinky tofu,stinky_tofu,Chinese,tofu,"[""Chinese""]","[""China""]",Eastern Asia,"This dish is a form of fermented tofu that has a strong odor. It is usually sold at night markets or roadside stands as a snack, or in lunch bars as a side dish, rather than in restaurants. Traditionally the dish is fermented in a brine with Vegetable and meat, sometimes for months."
Taho,taho,Filipino,dessert,"[""Filipino""]","[""Philippines""]",South Eastern Asia,The dish is made from soft tofu with sweet brown-colored sugar syrup and sago pearls.
Tahu campur,tahu_campur,Indonesian,tofu,"[""Indonesian""]","[""Indonesia""]",South Eastern Asia,"The dish is made from fried tofu with potato or cassava cakes, dressed with lettuce, noodles, and beef stew."
Tahu gejrot,tahu_gejrot,Indonesian,tofu,"[""Indonesian""]","[""Indonesia""]",South Eastern Asia,"The dish is made of fried tofu served with a thin and watery dressing made by blending palm sugar, vinegar, soy sauce, and chili."
Tahu sumedang,tahu_sumedang,Indonesian,tofu,"[""Indonesian""]","[""Indonesia""]",South Eastern Asia,"The dish is made of deep-fried tofu, usually served with separate green chili."
Tofu skin roll,tofu_skin_roll,Chinese,tofu,"[""Chinese""]","[""China""]",Eastern Asia,"The dish's outer layer is made of tofu skin, and it is usually served in a small plate in twos or threes. It has a number of cooking styles, and is normall fried or steamed. The fillings include pork, Vegetable, fish, and beef."
Tokwa't baboy,tokwat_baboy,Filipino,tofu,"[""Filipino""]","[""Philippines""]",South Eastern Asia,"The dish consists of pork ears, pork belly and deep-fried tofu, and is served in a mixture of soy sauce, pork broth, vinegar, chopped white onions, scallions and red chili peppers."
Yong tau foo,yong_tau_foo,Chinese,tofu,"[""Chinese""]","[""China""]",Eastern Asia,"The dish is a Hakka Chinese dish consisting primarily of tofu filled with ground meat mixture or fish paste, and is eaten either dry with a sauce or served as a soup dish."
Akara,akara,Nigerian,fritter,"[""Nigerian""]","[""Nigeria"",""Benin"",""Togo"",""Brazil""]",Western Africa,"The dish is a fritter made from cowpeas or beans, sometimes seasoned with salt, pepper, and chopped onions molded into the shape of large scone."
Ada,ada,Indian,snack,"[""Indian""]","[""India""]",Southern Asia,"The dish consisting of rice parcels encased in a dough made of rice flour, with sweet fillings, steamed in banana leaf and served as an evening snack or as part of breakfast. Grated coconut and rice flour are the two main ingredients."
Bánh bột lọc,bnh_bt_lc,Vietnamese,dumpling,"[""Vietnamese""]","[""Vietnam""]",South Eastern Asia,"The dish is a small, clear-looking, chewy tapioca dumplings that can be eaten as appetizers or small snacks.They are usually filled with shrimp and pork belly, often being topped with fried shallots and served with sweet chili fish sauce."
Bánh chuối,bnh_chui,Vietnamese,dessert,"[""Vietnamese""]","[""Vietnam""]",South Eastern Asia,"The dish is a sweet banana cake or bread pudding. Although its exact ingredients may vary, it is usually made with ripe bananas or starchy banana, rice flour, coconut milk, sugar, white bread, shredded young coconut, condensed milk, butter, egg, and vanilla extract. In the finished dish, the cooked banana often appears purplish-red in color."
Bánh cuốn,bnh_cun,Vietnamese,rice,"[""Vietnamese""]","[""Vietnam""]",South Eastern Asia,"The dish is made from a thin, wide sheet of fermented rice batter filled with a mixture of cooked seasoned ground pork, minced wood ear mushroom, and minced shallots. Sides for this dish usually consist of chả lụa (Vietnamese pork sausage), sliced cucumber, and bean sprouts, with the dipping sauce which is fish sauce called nước chấm (fish sauce)."
Bánh da lợn,bnh_da_ln,Vietnamese,snack,"[""Vietnamese""]","[""Vietnam""]",South Eastern Asia,"The dish is a steamed layer cake made from tapioca starch, rice flour, mashed mung beans, taro, or durian, coconut milk and/or water, and sugar. It is sweet and gelatinously soft in texture, with thin (approximately 1 cm) colored layers alternating with layers of mung bean, durian, or taro filling."
Bánh khoai mì,bnh_khoai_m,Vietnamese,dessert,"[""Vietnamese""]","[""Vietnam""]",South Eastern Asia,"The dish is a cake made from grated cassava, sugar, coconut milk, and a small amount of salt."
Bánh tẻ,bnh_t,Vietnamese,rice,"[""Vietnamese""]","[""Vietnam""]",South Eastern Asia,"The dish is a variety of small steamed rice cake. It is made of rice flour, wrapped with Lá dong leaves into a long, thin cylindrical shape, and boiled thoroughly. "
Corunda,corunda,Mexican,corn,"[""Mexican""]","[""Mexico""]",Central America,"The dish is wrapped in a long corn or reed plant leaf, and folded, making a triangular shape or spherical shape. They are typically steamed until golden and eaten with sour cream and red salsa."
Dhokla,dhokla,Indian,cake,"[""Indian""]","[""India""]",Southern Asia,"This dish is a savoury sponge dish that is made with a fermented batter that is steamed to a cake-like consistency. The batter consists of a mixture of rice with the pulse Bengal gram, but has several variants with the gram replaced by chickpeas, pigeon peas, or urad beans."
Jjim,jjim,Korean,stir fry,"[""Korean""]","[""Korea""]",Eastern Asia,"This is a cuisine term from a region that refers to dishes made by steaming or boiling meat, chicken, fish, or shellfish which have been marinated in a sauce or soup. The cooking method for most of this dishes nowadays has changed to boiling the ingredients in broth and reducing the liquid."
Agwi-jjim,agwijjim,Korean,stir fry,"[""Korean""]","[""Korea""]",Eastern Asia,"This dish is a stew made with a fish called blackmouth angler. The dish is seasoned with hot chili pepper powder, fermented soybean paste, soy sauce, minced garlic, and chopped scallions to make it spicy and hot."
Andong jjimdak,andong_jjimdak,Korean,stir fry,"[""Korean""]","[""Korea""]",Eastern Asia,"This dish is a stew made with chicken, various Vegetable marinated in a soy sauce based sauce."
Galbi-jjim,galbijjim,Korean,stew,"[""Korean""]","[""Korea""]",Eastern Asia,"This dish is a stew made with short rib, generally beef or pork."
Gyeran-jjim,gyeranjjim,Korean,egg,"[""Korean""]","[""Korea""]",Eastern Asia,"This dish is a custardy, casserole-like side dish, often seasoned with salted shrimp or salted pollock roe and topped with scallions and toasted sesame seeds. This dish ideally light and fluffy."
Enduri pitha,enduri_pitha,Indian,rice,"[""Indian""]","[""India""]",Southern Asia,"This dish has rice flour, turmeric leaves, black gram, coconut or chhena, jaggery, and black pepper as its main ingredients. It is a light snack and has laxative effect because of the turmeric leaves that are used to wrap the dish."
