dish_id,E_carbon,E_carbon_ingredients,E_carbon_cooking,E_water,E_water_ingredients,E_energy,E_land,cook_method,n_ingredients,total_grams,missing_ingredients,E_carbon_norm,E_water_norm,E_energy_norm,E_composite_equal,E_composite_carbon_first,E_composite_water_first,E_composite_energy_first,E_composite
dosa,0.6816,0.4346,0.2375,476.0,475.0,0.5,0.646,pan_fry,4,132,,0.04291561720897526,0.10121536774965118,0.34,0.16137699498620883,0.13176165054190042,0.1463365881770694,0.20603274623965662,0.16137699498620883
raita,0.5678,0.5583,0.0,221.6,220.6,0.0,1.525,raw,5,223,,0.03571354599501374,0.03846471995216264,0.01,0.028059421982392127,0.029972952985547526,0.030660746474834754,0.023544566486794097,0.028059421982392127
kimchi,0.1615,0.152,0.0,115.8,114.8,0.0,0.0725,raw,7,255,,0.01,0.012367948973490129,0.01,0.01078931632449671,0.010591987243372533,0.011183974486745065,0.010591987243372531,0.01078931632449671
kimchi_jjigae,1.121,0.9215,0.19,782.3,781.3,0.4,1.679,simmer,7,300,,0.07072396599117817,0.17676773968507073,0.274,0.17383056855874962,0.14805391791685676,0.17456486134032992,0.19887292641906223,0.17383056855874962
korean_fried_chicken,2.5675,2.083,0.475,1444.4,1443.4,1.0,3.8615,deep_fry,8,395,,0.16226874640414243,0.34008222045046843,0.67,0.3907836556182036,0.33365492831468835,0.37810829682626984,0.46058774171365274,0.3907836556182036
japchae,4.039,3.792,0.2375,1118.6,1117.6,0.5,19.8775,stir_fry,9,280,,0.2553957041488205,0.259719952162647,0.34,0.2850385521038225,0.277627840115072,0.2787089021185286,0.2987789140778669,0.2850385521038225
kimbap,2.6715,2.662,0.0,1000.1,999.1,0.0,10.481,cold,7,275,,0.1688506041040721,0.23049058202112813,0.01,0.1364470620417334,0.1445479475573181,0.1599579420365821,0.10483529653130005,0.1364470620417334
tteokbokki,1.1205,0.921,0.19,499.0,498.0,0.4,0.593,simmer,6,230,,0.07069232244454389,0.10688857883197128,0.274,0.15052696709217173,0.13056830593026478,0.1396173700271216,0.1813952253191288,0.15052696709217173
samgyeopsal,1.809,1.5145,0.285,1295.8,1294.8,0.6,3.589,grill,6,270,,0.11426548615994374,0.30342834363165233,0.406,0.274564609930532,0.23448982898788495,0.2817805433558121,0.307423457447899,0.274564609930532
sundubu_jjigae,1.23,1.0305,0.19,659.6,658.6,0.4,0.697,simmer,7,250,,0.07762225915745062,0.14650239186764996,0.274,0.1660415503417002,0.1439367275456378,0.16115676072318763,0.19303116275627516,0.1660415503417002
bun_bo_hue,7.3015,7.102,0.19,2273.4,2272.4,0.4,33.94,boil,8,380,,0.46186984593748,0.5445644807653975,0.274,0.4268114422342925,0.43557604316008935,0.45624970186706876,0.3886085816757194,0.4268114422342925
bun_cha,1.947,1.6525,0.285,1162.3,1161.3,0.6,2.5615,grill,8,360,,0.1229991050310043,0.2704990532190552,0.406,0.26649938608335316,0.23062431582026596,0.2674993028672787,0.3013745395625149,0.26649938608335316
com_tam,2.3265,2.032,0.285,1381.5,1380.5,0.6,2.925,grill,6,410,,0.14701655692642077,0.3245672214470799,0.406,0.2925279261245002,0.2561500838249804,0.30053774995514515,0.32089594459337517,0.2925279261245002
fresh_spring_roll,1.0375,1.028,0.0,406.0,405.0,0.0,0.369,raw,7,200,,0.06543949370325386,0.08394907315128561,0.01,0.053129522284846485,0.056207015139448334,0.06083441000145627,0.042347141713634864,0.053129522284846485
ca_phe_sua_da,0.513,0.5035,0.0,336.3,335.3,0.0,0.9,cold,3,95,,0.03224541328389695,0.06675677695834162,0.01,0.03633406341407952,0.03531190088153388,0.04393974180014505,0.029750547560559643,0.03633406341407952
baba_ganoush,0.6891,0.2996,0.38,485.7,484.7,0.8,0.5635,roast,6,257,,0.04339027040848942,0.10360798285828182,0.538,0.22833275108892376,0.1820971309188152,0.19715155903126327,0.30574956331669284,0.22833275108892376
dolma,0.7515,0.552,0.19,542.8,541.8,0.4,0.6965,simmer,7,195,,0.04733938502844723,0.11769234602352,0.274,0.14634391035065575,0.12159277902010363,0.1391810192688718,0.17825793276299182,0.14634391035065575
gyro,4.2615,3.872,0.38,1720.4,1719.4,0.8,55.99,roast,7,330,,0.26947708240107393,0.4081607534383097,0.538,0.4052126119464612,0.37127872956011443,0.40594964731942335,0.43840945895984595,0.4052126119464612
spanakopita,2.1975,1.808,0.38,655.7,654.7,0.8,6.49,bake,6,330,,0.1388525218947772,0.1455404125971696,0.538,0.27413097816398224,0.24031136409668102,0.24198333677227912,0.34009823362298675,0.27413097816398224
tabbouleh,0.3775,0.368,0.0,443.6,442.6,0.0,0.815,raw,6,200,,0.023670012146007797,0.09322353996412197,0.01,0.042297850703376584,0.03764089106403439,0.05502927301856294,0.03422338802753244,0.042297850703376584
moussaka,7.8365,7.447,0.38,2160.3,2159.3,0.8,37.2145,bake,8,465,,0.49572844083615675,0.5166670819214669,0.538,0.5167985075858745,0.5115309908984451,0.5167656511697727,0.5220988806894059,0.5167985075858745
pita,0.7217,0.3322,0.38,393.9,392.9,0.8,0.9013,bake,5,155,,0.045453429649044294,0.08096447079928243,0.538,0.22147263348277557,0.17746783252434276,0.1863455928119023,0.3006044751120817,0.22147263348277557
baklava,1.2435,0.854,0.38,987.8,986.8,0.8,2.13,bake,5,220,,0.07847663491657611,0.2274566473988439,0.538,0.28131109410514,0.23060247930799904,0.267847482428566,0.345483320578855,0.28131109410514
beef_bourguignon,13.068,12.4885,0.57,3390.9,3389.9,1.2,66.427,braise,7,365,,0.8268148692706002,0.8202085409607334,0.802,0.8163411367437777,0.8189595698754835,0.8173079877980167,0.8127558525578334,0.8163411367437777
coq_au_vin,2.7775,2.198,0.57,1371.8,1370.8,1.2,4.201,braise,7,400,,0.1755590359905389,0.32217460633844924,0.802,0.433244547442996,0.36882316957988176,0.40547706216685936,0.525433410582247,0.433244547442996
ratatouille,0.74,0.5405,0.19,403.2,402.2,0.4,0.687,simmer,7,365,,0.04661158345585885,0.08325842136735098,0.274,0.13462333494106993,0.11262039706976718,0.12178210654764021,0.16946750120580245,0.13462333494106993
escargot,0.962,0.5725,0.38,424.5,423.5,0.8,1.962,bake,4,95,,0.060661318161477976,0.08851230815228223,0.538,0.22905787543792008,0.18695873611880956,0.19392148361651063,0.30629340657844006,0.22905787543792008
souffle,2.5855,2.196,0.38,839.9,838.9,0.8,7.304,bake,5,260,,0.16340791408297642,0.1909754335260115,0.538,0.2974611158696626,0.26394781542299106,0.27083969528374985,0.357595836902247,0.2974611158696626
gazpacho,0.668,0.6585,0.0,344.6,343.6,0.0,0.6675,raw,8,370,,0.04205491274052292,0.06880406617500498,0.01,0.040286326305175965,0.04072847291401271,0.04741576127263322,0.03271474472888197,0.040286326305175965
osso_buco,15.8045,15.225,0.57,4119.8,4118.8,1.2,82.0375,braise,7,395,,1.0000000000000002,0.9999999999999998,0.802,0.9339999999999999,0.9505,0.9505,0.901,0.9339999999999999
paella,2.681,2.4815,0.19,1401.0,1400.0,0.4,2.6325,simmer,9,440,,0.16945183149012338,0.32937711779948176,0.274,0.2576096497632017,0.23557019519493214,0.27555151677227174,0.2617072373224013,0.2576096497632017
churro,1.554,1.0695,0.475,885.8,884.8,1.0,2.956,deep_fry,6,215,,0.09812727737646232,0.2022971895555112,0.67,0.32347482231065783,0.267137936077109,0.29318041412187124,0.4101061167329934,0.32347482231065783
churros_spanish,1.554,1.0695,0.475,885.8,884.8,1.0,2.956,deep_fry,6,215,,0.09812727737646232,0.2022971895555112,0.67,0.32347482231065783,0.267137936077109,0.29318041412187124,0.4101061167329934,0.32347482231065783
patatas_bravas,0.9015,0.417,0.475,553.7,552.7,1.0,1.092,deep_fry,6,295,,0.05683244901873041,0.12038095475383695,0.67,0.2824044679241891,0.22601146319782445,0.2418985896316011,0.3793033509431419,0.2824044679241891
tapas,1.37,1.123,0.2375,699.4,698.4,0.5,3.836,pan_fry,6,170,,0.08648245221504827,0.1563195136535778,0.34,0.1942673219562087,0.16732110452091858,0.18478036988055097,0.23070049146715654,0.1942673219562087
soup,0.7254,0.5259,0.19,312.4,311.4,0.4,1.084,simmer,7,203,,0.04568759189413796,0.060861570659756815,0.274,0.12684972085129825,0.1065591886120082,0.1103526833034129,0.1636372906384737,0.12684972085129825
